#levels	sections	uncapped	maxcap	medcap	spawns	maxburst	pak
20	102	0	6	4	1312	42	Splatterhouse - Deception of the Mask.pak
13	134	0	17	4	2854	273	Splatterhouse - Eternal Nightmare.pak
7	59	0	4	4	540	41	Splatterhouse 2 - Journey Through Hell.pak
7	68	0	4	4	575	37	Splatterhouse 3 - Back to Light.pak
10	13	8	100	100	104	14	Stains of Deception.pak
14	35	3	100	1	253	55	Steampunk Raiders.pak
1	0	0	0	0	0	0	Steins Gate D!.pak
26	142	6	100	4	1156	75	Street Fighter - Beats of Rage Remix II.pak
44	210	6	100	2	2067	85	Street Fighter '89 - The Final Fight [Demo].pak
70	163	0	14	4	4846	381	Street Fighter II Champion Edition.pak
2	5	2	100	3	30	20	Street Fighter Legends.pak
42	177	4	100	6	1874	65	Street Fighter Rage World Olympic Tour.pak
14	43	0	8	5	1049	83	Street Fighter Taiwan.pak
110	238	0	20	2	1468	41	Street Fighter Ultimate Collection.pak
14	23	8	100	3	181	16	Street Fighter Victory.pak
17	45	6	1000	2	415	73	Street Fighter Vs. The King of Fighters.pak
7	19	0	6	5	251	103	Street Fury.pak
12	61	15	100	4	779	180	Street Knightz.pak
1	0	0	0	0	0	0	Streets of Fighting - Final Edition.pak
75	110	25	100	4	1481	107	Streets of Rage - Silent Hill.pak
31	75	58	1000	1000	909	59	Streets of Rage 2X.pak
3	40	0	8	3	191	30	Streets of Rage 4 - Silent Storm [Demo].pak
34	191	0	4	3	1494	62	Streets of Rage Furia Massiva.pak
173	646	0	15	4	5356	55	Streets of Rage Legacy.pak
65	183	52	1000	4	1788	180	Streets of Rage X2 Megamix.pak
201	366	74	100	4	13179	482	Streets of Rage XXX.pak
90	200	0	9	4	3782	192	Streets Of Rage Z - Return Of The Hero.pak
90	200	0	9	4	3782	192	Streets of Rage Z 2.pak
112	354	36	100	4	4331	108	Streets of Rage Zombies.pak
38	113	28	100	4	1275	107	Streets Of Russia.pak
150	550	0	15	4	5428	96	Streets of Vendetta - Cracoland War.pak
28	32	0	10	6	1799	237	Strider X.pak
5	22	0	8	6	341	106	Supah! Princess Defender.pak
65	142	0	13	5	4401	381	Super Fightin' Spirit.pak
39	75	0	11	6	2460	115	Super Final Fight Gold Plus LNS.pak
36	61	0	9	4	1284	83	Super Final Fight Gold.pak
14	6	0	6	1	353	57	Super Karate Kid.pak
38	24	0	12	3	1781	180	Super Mario Brawl.pak
3	0	0	0	0	4	2	Super Street Fighter II Turbo HD Remix.pak
13	33	0	6	3	709	92	Super Thundercats - The Lost Eye of Thundera.pak
59	166	15	100	4	1678	114	Super Universe Brawl.pak
2	0	0	0	0	0	0	Symphonia Battalion - Well Fight Together.pak
17	35	0	5	1	166	27	Tabib.pak
8	16	0	12	1	105	25	Tanks Vs Tanks.pak
19	24	1	100	3	201	37	Target Renegade [Demo].pak
12	19	4	100	5	267	40	Teenage Mutant Ninja Turtles - 8-Bit.pak
10	8	0	1	1	197	22	Teenage Mutant Ninja Turtles - Fall of the Foot Clan DX [Demo].pak
5	1	0	4	4	119	29	Teenage Mutant Ninja Turtles - Lost in Space.pak
59	34	8	100	4	2930	59	Teenage Mutant Ninja Turtles - Recolored & Extended.pak
23	76	4	100	4	1325	135	Teenage Mutant Ninja Turtles - Red Sky Battle.pak
42	76	4	100	4	793	44	Teenage Mutant Ninja Turtles - Shell Shocked.pak
20	144	0	8	4	1582	96	Teenage Mutant Ninja Turtles and Battletoads.pak
5	23	4	100	3	141	35	Teenage Mutant Ninja Turtles III The Manhattan Project.pak
12	0	0	0	0	282	25	Teenage Mutant Ninja Turtles.pak
8	7	0	4	3	36	20	Tekken - The Devils Rage.pak
1	0	0	0	0	0	0	The Beast Within - Divine Comedy.pak
6	7	0	3	1	53	24	The Suffering In Me [Beta Demo].pak
50	168	2	100	5	1200	58	Tides Before the Tragedy.pak
6	38	0	10	5	444	53	Time Crisis - Side Scroller [Demo].pak
17	62	1	100	4	680	63	Touhou Madness Wrath.pak
7	18	0	5	4	590	138	Touhou Shooter.pak
12	24	0	4	4	383	41	Turrican vs Terminator.pak
234	1801	0	14	1	6104	218	Ultimate Double Dragon.pak
23	1	0	9	9	72	12	Ultimate Super Mega Beatdown.pak
11	11	0	4	4	163	42	Unnamed Project.pak
25	124	0	10	4	787	132	Urban Lockdown.pak
28	55	2	100	4	599	57	Valdivia City Ransom.pak
5	22	5	100	4	213	50	Vampire Hunters.pak
14	75	0	8	3	1387	131	Vampire Rage Hide.pak
39	0	0	0	0	989	34	Vengeance of Kyo, The.pak
319	521	6	100	4	60518	588	Vermilion Sword - The Legend Of Calibur.pak
4	17	5	100	4	230	56	Village of Rage.pak
16	69	27	100	3	1213	59	Warrior Frenzy.pak
58	150	0	40	4	3996	559	Warslayers - Land of Sinners.pak
136	0	0	0	0	702	16	Way of Martial Arts.pak
191	211	37	120	4	3803	298	Women's War.pak
77	58	12	100	4	624	63	World Heroes Supreme Justice Extra.pak
4	2	0	1	1	24	15	Xelam.pak
38	89	0	4	3	711	33	X-Men - Guerra dos Clones.pak
31	114	0	10	3	1034	111	X-Men Hunter for Mutants.pak
4	18	5	100	3	120	36	X-Men Vs. Street Fighter.pak
4	12	5	100	3	76	27	X-Men.pak
2	5	2	100	4	59	16	XuanYuan Sword.pak
1	0	0	0	0	0	0	Yu Yu Hakusho Dark Tournament.pak
8	0	0	0	0	52	8	Yu-Gi-Oh! - Duels Alive.pak
